treatment,batch_id,group_id,round_index,offer,decision,rejected,fairness,efficiency
constant,batch-0616,3,9,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,10,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,11,5,accept,False,1.0,10.0
constant,batch-0616,3,12,3,reject,True,,0.0
constant,batch-0616,3,13,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,14,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,15,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,16,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,17,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,18,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,19,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,20,3,reject,True,,0.0
constant,batch-0616,3,21,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,22,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,23,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,3,24,5,accept,False,1.0,10.0
constant,batch-0616,3,25,3,reject,True,,0.0
constant,batch-0616,4,1,0,reject,True,,0.0
constant,batch-0616,4,2,2,accept,False,0.25,10.0
constant,batch-0616,4,3,1,reject,True,,0.0
constant,batch-0616,4,4,3,reject,True,,0.0
constant,batch-0616,4,5,5,accept,False,1.0,10.0
constant,batch-0616,4,6,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,4,7,2,reject,True,,0.0
constant,batch-0616,4,8,5,accept,False,1.0,10.0
constant,batch-0616,4,9,5,accept,False,1.0,10.0
constant,batch-0616,4,10,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,4,11,3,reject,True,,0.0
constant,batch-0616,4,12,5,accept,False,1.0,10.0
constant,batch-0616,4,13,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,4,14,5,accept,False,1.0,10.0
constant,batch-0616,4,15,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,4,16,4,reject,True,,0.0
constant,batch-0616,4,17,5,accept,False,1.0,10.0
constant,batch-0616,4,18,4,reject,True,,0.0
constant,batch-0616,4,19,5,accept,False,1.0,10.0
constant,batch-0616,4,20,5,accept,False,1.0,10.0
constant,batch-0616,4,21,5,accept,False,1.0,10.0
constant,batch-0616,4,22,4,reject,True,,0.0
constant,batch-0616,4,23,6,accept,False,0.6666666666666666,10.0
constant,batch-0616,4,24,5,accept,False,1.0,10.0
constant,batch-0616,4,25,5,accept,False,1.0,10.0
constant,batch-0616,5,1,5,accept,False,1.0,10.0
constant,batch-0616,5,2,5,accept,False,1.0,10.0
constant,batch-0616,5,3,5,accept,False,1.0,10.0
constant,batch-0616,5,4,5,accept,False,1.0,10.0
constant,batch-0616,5,5,5,accept,False,1.0,10.0
constant,batch-0616,5,6,5,accept,False,1.0,10.0
constant,batch-0616,5,7,5,accept,False,1.0,10.0
constant,batch-0616,5,8,5,accept,False,1.0,10.0
constant,batch-0616,5,9,5,accept,False,1.0,10.0
constant,batch-0616,5,10,5,accept,False,1.0,10.0
constant,batch-0616,5,11,5,accept,False,1.0,10.0
constant,batch-0616,5,12,5,accept,False,1.0,10.0
constant,batch-0616,5,13,5,accept,False,1.0,10.0
constant,batch-0616,5,14,5,accept,False,1.0,10.0
constant,batch-0616,5,15,5,accept,False,1.0,10.0
constant,batch-0616,5,16,5,accept,False,1.0,10.0
constant,batch-0616,5,17,5,accept,False,1.0,10.0
constant,batch-0616,5,18,5,accept,False,1.0,10.0
constant,batch-0616,5,19,5,accept,False,1.0,10.0
constant,batch-0616,5,20,5,accept,False,1.0,10.0
constant,batch-0616,5,21,5,accept,False,1.0,10.0
constant,batch-0616,5,22,5,accept,False,1.0,10.0
constant,batch-0616,5,23,5,accept,False,1.0,10.0
constant,batch-0616,5,24,5,accept,False,1.0,10.0
constant,batch-0616,5,25,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,1,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,2,5,accept,False,1.0,10.0
constant,batch-0616,6,3,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,4,5,accept,False,1.0,10.0
constant,batch-0616,6,5,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,6,6,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,7,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,8,5,accept,False,1.0,10.0
constant,batch-0616,6,9,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,10,5,accept,False,1.0,10.0
constant,batch-0616,6,11,5,accept,False,1.0,10.0
constant,batch-0616,6,12,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,13,6,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,14,5,accept,False,1.0,10.0
constant,batch-0616,6,15,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,16,5,accept,False,1.0,10.0
constant,batch-0616,6,17,6,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,18,5,accept,False,1.0,10.0
constant,batch-0616,6,19,4,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,20,5,accept,False,1.0,10.0
constant,batch-0616,6,21,5,accept,False,1.0,10.0
constant,batch-0616,6,22,6,accept,False,0.6666666666666666,10.0
constant,batch-0616,6,23,5,accept,False,1.0,10.0
constant,batch-0616,6,24,5,accept,False,1.0,10.0
constant,batch-0616,6,25,5,accept,False,1.0,10.0
constant,batch-0616,7,1,5,accept,False,1.0,10.0
constant,batch-0616,7,2,5,accept,False,1.0,10.0
constant,batch-0616,7,3,5,accept,False,1.0,10.0
constant,batch-0616,7,4,5,accept,False,1.0,10.0
constant,batch-0616,7,5,5,accept,False,1.0,10.0
constant,batch-0616,7,6,5,accept,False,1.0,10.0
constant,batch-0616,7,7,5,accept,False,1.0,10.0
constant,batch-0616,7,8,5,accept,False,1.0,10.0
constant,batch-0616,7,9,5,accept,False,1.0,10.0
constant,batch-0616,7,10,5,accept,False,1.0,10.0
constant,batch-0616,7,11,5,accept,False,1.0,10.0
constant,batch-0616,7,12,5,accept,False,1.0,10.0
constant,batch-0616,7,13,5,accept,False,1.0,10.0
constant,batch-0616,7,14,5,accept,False,1.0,10.0
constant,batch-0616,7,15,5,accept,False,1.0,10.0
constant,batch-0616,7,16,5,accept,False,1.0,10.0
constant,batch-0616,7,17,5,accept,False,1.0,10.0
constant,batch-0616,7,18,5,accept,False,1.0,10.0
constant,batch-0616,7,19,5,accept,False,1.0,10.0
constant,batch-0616,7,20,5,accept,False,1.0,10.0
constant,batch-0616,7,21,5,accept,False,1.0,10.0
constant,batch-0616,7,22,5,accept,False,1.0,10.0
constant,batch-0616,7,23,5,accept,False,1.0,10.0
constant,batch-0616,7,24,5,accept,False,1.0,10.0
constant,batch-0616,7,25,5,accept,False,1.0,10.0
constant,batch-0617,1,1,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,1,2,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,1,3,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,1,4,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,1,5,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,1,6,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,1,7,3,reject,True,,0.0
constant,batch-0617,1,8,3,reject,True,,0.0
constant,batch-0617,1,9,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,1,10,4,reject,True,,0.0
constant,batch-0617,1,11,4,reject,True,,0.0
constant,batch-0617,1,12,5,accept,False,1.0,10.0
constant,batch-0617,1,13,5,accept,False,1.0,10.0
constant,batch-0617,1,14,5,accept,False,1.0,10.0
constant,batch-0617,1,15,5,accept,False,1.0,10.0
constant,batch-0617,1,16,5,accept,False,1.0,10.0
constant,batch-0617,1,17,5,accept,False,1.0,10.0
constant,batch-0617,1,18,5,accept,False,1.0,10.0
constant,batch-0617,1,19,5,accept,False,1.0,10.0
constant,batch-0617,1,20,5,accept,False,1.0,10.0
constant,batch-0617,1,21,5,accept,False,1.0,10.0
constant,batch-0617,1,22,5,accept,False,1.0,10.0
constant,batch-0617,1,23,5,accept,False,1.0,10.0
constant,batch-0617,1,24,5,accept,False,1.0,10.0
constant,batch-0617,1,25,5,accept,False,1.0,10.0
constant,batch-0617,2,1,5,accept,False,1.0,10.0
constant,batch-0617,2,2,5,accept,False,1.0,10.0
constant,batch-0617,2,3,5,accept,False,1.0,10.0
constant,batch-0617,2,4,5,accept,False,1.0,10.0
constant,batch-0617,2,5,5,accept,False,1.0,10.0
constant,batch-0617,2,6,5,accept,False,1.0,10.0
constant,batch-0617,2,7,5,accept,False,1.0,10.0
constant,batch-0617,2,8,5,accept,False,1.0,10.0
constant,batch-0617,2,9,5,accept,False,1.0,10.0
constant,batch-0617,2,10,5,accept,False,1.0,10.0
constant,batch-0617,2,11,5,accept,False,1.0,10.0
constant,batch-0617,2,12,5,accept,False,1.0,10.0
constant,batch-0617,2,13,5,accept,False,1.0,10.0
constant,batch-0617,2,14,5,accept,False,1.0,10.0
constant,batch-0617,2,15,5,accept,False,1.0,10.0
constant,batch-0617,2,16,5,accept,False,1.0,10.0
constant,batch-0617,2,17,5,accept,False,1.0,10.0
constant,batch-0617,2,18,5,accept,False,1.0,10.0
constant,batch-0617,2,19,5,accept,False,1.0,10.0
constant,batch-0617,2,20,5,accept,False,1.0,10.0
constant,batch-0617,2,21,5,accept,False,1.0,10.0
constant,batch-0617,2,22,5,accept,False,1.0,10.0
constant,batch-0617,2,23,5,accept,False,1.0,10.0
constant,batch-0617,2,24,5,accept,False,1.0,10.0
constant,batch-0617,2,25,5,accept,False,1.0,10.0
constant,batch-0617,3,1,5,accept,False,1.0,10.0
constant,batch-0617,3,2,4,reject,True,,0.0
constant,batch-0617,3,3,5,accept,False,1.0,10.0
constant,batch-0617,3,4,5,accept,False,1.0,10.0
constant,batch-0617,3,5,5,accept,False,1.0,10.0
constant,batch-0617,3,6,5,accept,False,1.0,10.0
constant,batch-0617,3,7,5,accept,False,1.0,10.0
constant,batch-0617,3,8,5,accept,False,1.0,10.0
constant,batch-0617,3,9,5,accept,False,1.0,10.0
constant,batch-0617,3,10,5,accept,False,1.0,10.0
constant,batch-0617,3,11,5,accept,False,1.0,10.0
constant,batch-0617,3,12,5,accept,False,1.0,10.0
constant,batch-0617,3,13,5,accept,False,1.0,10.0
constant,batch-0617,3,14,5,accept,False,1.0,10.0
constant,batch-0617,3,15,5,accept,False,1.0,10.0
constant,batch-0617,3,16,5,accept,False,1.0,10.0
constant,batch-0617,3,17,5,accept,False,1.0,10.0
constant,batch-0617,3,18,5,accept,False,1.0,10.0
constant,batch-0617,3,19,5,accept,False,1.0,10.0
constant,batch-0617,3,20,5,accept,False,1.0,10.0
constant,batch-0617,3,21,5,accept,False,1.0,10.0
constant,batch-0617,3,22,5,accept,False,1.0,10.0
constant,batch-0617,3,23,5,accept,False,1.0,10.0
constant,batch-0617,3,24,5,accept,False,1.0,10.0
constant,batch-0617,3,25,5,accept,False,1.0,10.0
constant,batch-0617,4,1,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,4,2,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,4,3,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,4,4,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,4,5,3,reject,True,,0.0
constant,batch-0617,4,6,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,4,7,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,4,8,4,reject,True,,0.0
constant,batch-0617,4,9,4,reject,True,,0.0
constant,batch-0617,4,10,5,accept,False,1.0,10.0
constant,batch-0617,4,11,4,reject,True,,0.0
constant,batch-0617,4,12,3,reject,True,,0.0
constant,batch-0617,4,13,4,reject,True,,0.0
constant,batch-0617,4,14,5,accept,False,1.0,10.0
constant,batch-0617,4,15,5,accept,False,1.0,10.0
constant,batch-0617,4,16,5,accept,False,1.0,10.0
constant,batch-0617,4,17,5,accept,False,1.0,10.0
constant,batch-0617,4,18,5,accept,False,1.0,10.0
constant,batch-0617,4,19,5,accept,False,1.0,10.0
constant,batch-0617,4,20,5,accept,False,1.0,10.0
constant,batch-0617,4,21,4,reject,True,,0.0
constant,batch-0617,4,22,4,reject,True,,0.0
constant,batch-0617,4,23,4,reject,True,,0.0
constant,batch-0617,4,24,4,reject,True,,0.0
constant,batch-0617,4,25,4,reject,True,,0.0
constant,batch-0617,5,1,6,accept,False,0.6666666666666666,10.0
constant,batch-0617,5,2,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,5,3,5,accept,False,1.0,10.0
constant,batch-0617,5,4,5,accept,False,1.0,10.0
constant,batch-0617,5,5,5,accept,False,1.0,10.0
constant,batch-0617,5,6,8,accept,False,0.25,10.0
constant,batch-0617,5,7,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,5,8,6,accept,False,0.6666666666666666,10.0
constant,batch-0617,5,9,2,reject,True,,0.0
constant,batch-0617,5,10,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,5,11,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,5,12,6,accept,False,0.6666666666666666,10.0
constant,batch-0617,5,13,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,5,14,5,accept,False,1.0,10.0
constant,batch-0617,5,15,5,accept,False,1.0,10.0
constant,batch-0617,5,16,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,5,17,5,accept,False,1.0,10.0
constant,batch-0617,5,18,5,accept,False,1.0,10.0
constant,batch-0617,5,19,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,5,20,5,accept,False,1.0,10.0
constant,batch-0617,5,21,6,accept,False,0.6666666666666666,10.0
constant,batch-0617,5,22,5,accept,False,1.0,10.0
constant,batch-0617,5,23,5,accept,False,1.0,10.0
constant,batch-0617,5,24,4,reject,True,,0.0
constant,batch-0617,5,25,5,accept,False,1.0,10.0
constant,batch-0617,6,1,5,accept,False,1.0,10.0
constant,batch-0617,6,2,5,accept,False,1.0,10.0
constant,batch-0617,6,3,5,accept,False,1.0,10.0
constant,batch-0617,6,4,5,accept,False,1.0,10.0
constant,batch-0617,6,5,5,accept,False,1.0,10.0
constant,batch-0617,6,6,5,accept,False,1.0,10.0
constant,batch-0617,6,7,5,accept,False,1.0,10.0
constant,batch-0617,6,8,5,accept,False,1.0,10.0
constant,batch-0617,6,9,5,accept,False,1.0,10.0
constant,batch-0617,6,10,5,accept,False,1.0,10.0
constant,batch-0617,6,11,5,accept,False,1.0,10.0
constant,batch-0617,6,12,5,accept,False,1.0,10.0
constant,batch-0617,6,13,5,accept,False,1.0,10.0
constant,batch-0617,6,14,5,accept,False,1.0,10.0
constant,batch-0617,6,15,5,accept,False,1.0,10.0
constant,batch-0617,6,16,5,accept,False,1.0,10.0
constant,batch-0617,6,17,5,accept,False,1.0,10.0
constant,batch-0617,6,18,5,accept,False,1.0,10.0
constant,batch-0617,6,19,5,accept,False,1.0,10.0
constant,batch-0617,6,20,5,accept,False,1.0,10.0
constant,batch-0617,6,21,5,accept,False,1.0,10.0
constant,batch-0617,6,22,5,accept,False,1.0,10.0
constant,batch-0617,6,23,5,accept,False,1.0,10.0
constant,batch-0617,6,24,5,accept,False,1.0,10.0
constant,batch-0617,6,25,5,accept,False,1.0,10.0
constant,batch-0617,7,1,5,accept,False,1.0,10.0
constant,batch-0617,7,2,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,7,3,3,reject,True,,0.0
constant,batch-0617,7,4,5,accept,False,1.0,10.0
constant,batch-0617,7,5,4,reject,True,,0.0
constant,batch-0617,7,6,4,reject,True,,0.0
constant,batch-0617,7,7,5,accept,False,1.0,10.0
constant,batch-0617,7,8,5,accept,False,1.0,10.0
constant,batch-0617,7,9,5,accept,False,1.0,10.0
constant,batch-0617,7,10,5,accept,False,1.0,10.0
constant,batch-0617,7,11,4,reject,True,,0.0
constant,batch-0617,7,12,5,accept,False,1.0,10.0
constant,batch-0617,7,13,5,accept,False,1.0,10.0
constant,batch-0617,7,14,5,accept,False,1.0,10.0
constant,batch-0617,7,15,5,accept,False,1.0,10.0
constant,batch-0617,7,16,5,accept,False,1.0,10.0
constant,batch-0617,7,17,5,accept,False,1.0,10.0
constant,batch-0617,7,18,5,accept,False,1.0,10.0
constant,batch-0617,7,19,5,accept,False,1.0,10.0
constant,batch-0617,7,20,5,accept,False,1.0,10.0
constant,batch-0617,7,21,5,accept,False,1.0,10.0
constant,batch-0617,7,22,5,accept,False,1.0,10.0
constant,batch-0617,7,23,5,accept,False,1.0,10.0
constant,batch-0617,7,24,5,accept,False,1.0,10.0
constant,batch-0617,7,25,5,accept,False,1.0,10.0
constant,batch-0617,8,1,5,accept,False,1.0,10.0
constant,batch-0617,8,2,5,accept,False,1.0,10.0
constant,batch-0617,8,3,5,accept,False,1.0,10.0
constant,batch-0617,8,4,5,accept,False,1.0,10.0
constant,batch-0617,8,5,5,accept,False,1.0,10.0
constant,batch-0617,8,6,5,accept,False,1.0,10.0
constant,batch-0617,8,7,5,accept,False,1.0,10.0
constant,batch-0617,8,8,5,accept,False,1.0,10.0
constant,batch-0617,8,9,5,accept,False,1.0,10.0
constant,batch-0617,8,10,5,accept,False,1.0,10.0
constant,batch-0617,8,11,5,accept,False,1.0,10.0
constant,batch-0617,8,12,5,accept,False,1.0,10.0
constant,batch-0617,8,13,5,accept,False,1.0,10.0
constant,batch-0617,8,14,5,accept,False,1.0,10.0
constant,batch-0617,8,15,5,accept,False,1.0,10.0
constant,batch-0617,8,16,5,accept,False,1.0,10.0
constant,batch-0617,8,17,5,accept,False,1.0,10.0
constant,batch-0617,8,18,5,accept,False,1.0,10.0
constant,batch-0617,8,19,5,accept,False,1.0,10.0
constant,batch-0617,8,20,5,accept,False,1.0,10.0
constant,batch-0617,8,21,5,accept,False,1.0,10.0
constant,batch-0617,8,22,5,accept,False,1.0,10.0
constant,batch-0617,8,23,5,accept,False,1.0,10.0
constant,batch-0617,8,24,5,accept,False,1.0,10.0
constant,batch-0617,8,25,5,accept,False,1.0,10.0
constant,batch-0617,15,1,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,15,2,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,15,3,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,15,4,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,15,5,2,accept,False,0.25,10.0
constant,batch-0617,15,6,2,accept,False,0.25,10.0
constant,batch-0617,15,7,1,accept,False,0.1111111111111111,10.0
constant,batch-0617,15,8,1,reject,True,,0.0
constant,batch-0617,15,9,1,reject,True,,0.0
constant,batch-0617,15,10,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,15,11,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,15,12,2,reject,True,,0.0
constant,batch-0617,15,13,2,reject,True,,0.0
constant,batch-0617,15,14,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,15,15,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,15,16,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,15,17,3,accept,False,0.42857142857142855,10.0
constant,batch-0617,15,18,3,reject,True,,0.0
constant,batch-0617,15,19,3,reject,True,,0.0
constant,batch-0617,15,20,4,reject,True,,0.0
constant,batch-0617,15,21,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,15,22,3,reject,True,,0.0
constant,batch-0617,15,23,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,15,24,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,15,25,4,accept,False,0.6666666666666666,10.0
constant,batch-0617,16,1,5,accept,False,1.0,10.0
constant,batch-0617,16,2,5,accept,False,1.0,10.0
constant,batch-0617,16,3,5,accept,False,1.0,10.0
constant,batch-0617,16,4,5,accept,False,1.0,10.0
constant,batch-0617,16,5,5,accept,False,1.0,10.0
constant,batch-0617,16,6,5,accept,False,1.0,10.0
constant,batch-0617,16,7,5,accept,False,1.0,10.0
constant,batch-0617,16,8,5,accept,False,1.0,10.0
constant,batch-0617,16,9,5,accept,False,1.0,10.0
constant,batch-0617,16,10,5,accept,False,1.0,10.0
constant,batch-0617,16,11,5,accept,False,1.0,10.0
constant,batch-0617,16,12,5,accept,False,1.0,10.0
constant,batch-0617,16,13,5,accept,False,1.0,10.0
constant,batch-0617,16,14,5,accept,False,1.0,10.0
constant,batch-0617,16,15,5,accept,False,1.0,10.0
constant,batch-0617,16,16,5,accept,False,1.0,10.0
constant,batch-0617,16,17,5,accept,False,1.0,10.0
constant,batch-0617,16,18,5,accept,False,1.0,10.0
constant,batch-0617,16,19,5,accept,False,1.0,10.0
constant,batch-0617,16,20,5,accept,False,1.0,10.0
constant,batch-0617,16,21,5,accept,False,1.0,10.0
constant,batch-0617,16,22,5,accept,False,1.0,10.0
constant,batch-0617,16,23,5,accept,False,1.0,10.0
constant,batch-0617,16,24,5,accept,False,1.0,10.0
constant,batch-0617,16,25,5,accept,False,1.0,10.0
constant,batch-061901,1,1,5,reject,True,,0.0
constant,batch-061901,1,2,6,reject,True,,0.0
constant,batch-061901,1,3,8,reject,True,,0.0
constant,batch-061901,1,4,0,reject,True,,0.0
constant,batch-061901,1,5,9,accept,False,0.1111111111111111,10.0
constant,batch-061901,1,6,5,reject,True,,0.0
constant,batch-061901,1,7,10,accept,False,0.0,10.0
constant,batch-061901,1,8,0,reject,True,,0.0
constant,batch-061901,1,9,1,reject,True,,0.0
constant,batch-061901,1,10,1,reject,True,,0.0
constant,batch-061901,1,11,3,reject,True,,0.0
constant,batch-061901,1,12,5,reject,True,,0.0
constant,batch-061901,1,13,1,reject,True,,0.0
constant,batch-061901,1,14,7,accept,False,0.42857142857142855,10.0
constant,batch-061901,1,15,6,accept,False,0.6666666666666666,10.0
constant,batch-061901,1,16,5,reject,True,,0.0
constant,batch-061901,1,17,4,reject,True,,0.0
constant,batch-061901,1,18,6,reject,True,,0.0
constant,batch-061901,1,19,7,accept,False,0.42857142857142855,10.0
constant,batch-061901,1,20,7,reject,True,,0.0
constant,batch-061901,1,21,6,reject,True,,0.0
constant,batch-061901,1,22,1,reject,True,,0.0
constant,batch-061901,1,23,6,reject,True,,0.0
constant,batch-061901,1,24,7,accept,False,0.42857142857142855,10.0
constant,batch-061901,1,25,7,accept,False,0.42857142857142855,10.0
constant,batch-061901,3,1,5,accept,False,1.0,10.0
constant,batch-061901,3,2,5,accept,False,1.0,10.0
constant,batch-061901,3,3,5,accept,False,1.0,10.0
constant,batch-061901,3,4,4,accept,False,0.6666666666666666,10.0
constant,batch-061901,3,5,5,accept,False,1.0,10.0
constant,batch-061901,3,6,4,accept,False,0.6666666666666666,10.0
constant,batch-061901,3,7,5,accept,False,1.0,10.0
constant,batch-061901,3,8,3,reject,True,,0.0
constant,batch-061901,3,9,5,accept,False,1.0,10.0
constant,batch-061901,3,10,5,accept,False,1.0,10.0
constant,batch-061901,3,11,4,reject,True,,0.0
constant,batch-061901,3,12,5,accept,False,1.0,10.0
constant,batch-061901,3,13,6,accept,False,0.6666666666666666,10.0
constant,batch-061901,3,14,6,accept,False,0.6666666666666666,10.0
constant,batch-061901,3,15,5,accept,False,1.0,10.0
constant,batch-061901,3,16,5,accept,False,1.0,10.0
constant,batch-061901,3,17,5,accept,False,1.0,10.0
constant,batch-061901,3,18,5,accept,False,1.0,10.0
constant,batch-061901,3,19,4,accept,False,0.6666666666666666,10.0
constant,batch-061901,3,20,5,accept,False,1.0,10.0
constant,batch-061901,3,21,5,accept,False,1.0,10.0
constant,batch-061901,3,22,5,accept,False,1.0,10.0
constant,batch-061901,3,23,5,accept,False,1.0,10.0
constant,batch-061901,3,24,5,accept,False,1.0,10.0
constant,batch-061901,3,25,5,accept,False,1.0,10.0
constant,batch-061901,4,1,5,accept,False,1.0,10.0
constant,batch-061901,4,2,5,accept,False,1.0,10.0
constant,batch-061901,4,3,5,accept,False,1.0,10.0
constant,batch-061901,4,4,5,accept,False,1.0,10.0
constant,batch-061901,4,5,5,accept,False,1.0,10.0
constant,batch-061901,4,6,5,accept,False,1.0,10.0
constant,batch-061901,4,7,5,accept,False,1.0,10.0
constant,batch-061901,4,8,5,accept,False,1.0,10.0
constant,batch-061901,4,9,5,accept,False,1.0,10.0
constant,batch-061901,4,10,5,accept,False,1.0,10.0
constant,batch-061901,4,11,5,accept,False,1.0,10.0
constant,batch-061901,4,12,5,accept,False,1.0,10.0
constant,batch-061901,4,13,5,accept,False,1.0,10.0
constant,batch-061901,4,14,5,accept,False,1.0,10.0
constant,batch-061901,4,15,5,accept,False,1.0,10.0
constant,batch-061901,4,16,5,accept,False,1.0,10.0
constant,batch-061901,4,17,5,accept,False,1.0,10.0
constant,batch-061901,4,18,5,accept,False,1.0,10.0
constant,batch-061901,4,19,5,accept,False,1.0,10.0
constant,batch-061901,4,20,5,accept,False,1.0,10.0
constant,batch-061901,4,21,5,accept,False,1.0,10.0
constant,batch-061901,4,22,5,accept,False,1.0,10.0
constant,batch-061901,4,23,5,accept,False,1.0,10.0
constant,batch-061901,4,24,5,accept,False,1.0,10.0
constant,batch-061901,4,25,5,accept,False,1.0,10.0
constant,batch-061901,5,2,2,accept,False,0.25,10.0
constant,batch-061901,5,3,4,accept,False,0.6666666666666666,10.0
constant,batch-061901,5,4,1,reject,True,,0.0
constant,batch-061901,5,5,4,accept,False,0.6666666666666666,10.0
constant,batch-061901,5,6,7,accept,False,0.42857142857142855,10.0
constant,batch-061901,5,7,5,accept,False,1.0,10.0
constant,batch-061901,5,8,3,accept,False,0.42857142857142855,10.0
constant,batch-061901,5,9,7,accept,False,0.42857142857142855,10.0
constant,batch-061901,5,10,4,accept,False,0.6666666666666666,10.0
constant,batch-061901,5,11,5,accept,False,1.0,10.0
constant,batch-061901,5,12,5,accept,False,1.0,10.0
constant,batch-061901,5,13,6,accept,False,0.6666666666666666,10.0
